,Authors,Article Title,Source Title,Publication Year,DOI
0,"Zhang, Q; Zhang, S; Cao, XC; Liu, LF; Liu, Y; Li, R",The effect of remnant preservation on tibial tunnel enlargement in ACL reconstruction with hamstring autograft: a prospective randomized controlled trial,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,2014,10.1007/s00167-012-2341-7
1,"Smith, PA; Cook, CS; Bley, JA",All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2020,10.1016/j.arthro.2020.01.048
2,"Mutsuzaki, H; Kinugasa, T; Ikeda, K; Sakane, M",Anatomic single-bundle anterior cruciate ligament reconstruction using a calcium phosphate-hybridized tendon graft: a randomized controlled trial with 2years of follow-up,JOURNAL OF ORTHOPAEDIC SURGERY AND RESEARCH,2018,10.1186/s13018-018-1045-1
3,"Lund, B; Nielsen, T; Fauno, P; Christiansen, SE; Lind, M",Is Quadriceps Tendon a Better Graft Choice Than Patellar Tendon? A Prospective Randomized Study,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2014,10.1016/j.arthro.2014.01.012
4,"Chahal, J; Whelan, DB; Hoit, G; Theodoropoulos, J; Ajrawat, P; Betsch, M; Docter, S; Dwyer, T",Anterior Cruciate Ligament Patellar Tendon Autograft Fixation at 0∞ Versus 30∞ Results in Improved Activity Scores and a Greater Proportion of Patients Achieving the Minimal Clinical Important Difference For Knee Injury and Osteoarthritis Outcome Score Pain: A Randomized Controlled Trial,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2022,10.1016/j.arthro.2021.12.018
5,"Mohtadi, N; Chan, D; Barber, R; Paolucci, EO","A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at a Minimal 2-Year Follow-up",CLINICAL JOURNAL OF SPORT MEDICINE,2015,10.1097/JSM.0000000000000165
6,"Bottoni, CR; Liddell, TR; Trainor, TJ; Freccero, DM; Lindell, KK","Postoperative range of motion following anterior cruciate ligament reconstruction using autograft hamstrings - A prospective, randomized clinical trial of early versus delayed reconstructions",AMERICAN JOURNAL OF SPORTS MEDICINE,2008,10.1177/0363546507312164
7,"Balasingam, S; Karikis, I; RostgÂrd-Christensen, L; Desai, N; AhldÈn, M; Sernert, N; Kartus, J",Anatomic Double-Bundle Anterior Cruciate Ligament Reconstruction Is Not Superior to Anatomic Single-Bundle Reconstruction at 10-Year Follow-up: A Randomized Clinical Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2022,10.1177/03635465221128566
8,"J‰rvel‰, T; Moisala, AS; Sihvonen, R; J‰rvel‰, S; Kannus, P; J‰rvinen, M",Double-bundle anterior cruciate ligament reconstruction using hamstring autografts and bioabsorbable interference screw fixation,AMERICAN JOURNAL OF SPORTS MEDICINE,2008,10.1177/0363546507308360
9,"Ejerhed, L; Kartus, J; Sernert, N; Kˆhler, K; Karlsson, J",Patellar tendon or semitendinosus tendon autografts for anterior cruciate ligament reconstruction?: A prospective randomized study with a two-year follow-up,AMERICAN JOURNAL OF SPORTS MEDICINE,2003,10.1177/03635465030310011401
10,"Sajovic, M; Strahovnik, A; Dernovsek, MZ; Skaza, K",Quality of Life and Clinical Outcome Comparison of Semitendinosus and Gracilis Tendon Versus Patellar Tendon Autografts for Anterior Cruciate Ligament Reconstruction An 11-Year Follow-up of a Randomized Controlled Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2011,10.1177/0363546511411702
11,"Koga, H; Muneta, T; Yagishita, K; Watanabe, T; Mochizuki, T; Horie, M; Nakamura, T; Otabe, K; Sekiya, I",Mid- to Long-term Results of Single-Bundle Versus Double-Bundle Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2015,10.1016/j.arthro.2014.07.020
12,"Mutsuzaki, H; Kanamori, A; Ikeda, K; Hioki, S; Kinugasa, T; Sakane, M",Effect of Calcium Phosphate-Hybridized Tendon Graft in Anterior Cruciate Ligament Reconstruction A Randomized Controlled Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2012,10.1177/0363546512449618
13,"Hill, PF; Russell, VJ; Salmon, LJ; Pinczewski, LA",The influence of supplementary tibial fixation on laxity measurements after anterior cruciate ligament reconstruction with hamstring tendons in female patients,AMERICAN JOURNAL OF SPORTS MEDICINE,2005,10.1177/0363546504268036
14,"Matsumoto, A; Yoshiya, S; Muratsu, H; Yagi, M; Iwasaki, Y; Kurosaka, M; Kuroda, R",A comparison of bone-patellar tendon-bone and bone-hamstring tendon-bone autografts for anterior cruciate ligament reconstruction,AMERICAN JOURNAL OF SPORTS MEDICINE,2006,10.1177/0363546505279919
15,"Nau, T; Lavoie, P; Duval, N",A new generation of artificial ligaments in reconstruction of the anterior cruciate ligament - Two-year follow-up of a randomised trial,JOURNAL OF BONE AND JOINT SURGERY-BRITISH VOLUME,2002,10.1302/0301-620X.84B3.12400
16,"Halinen, J; Lindahl, J; Hirvensalo, E; Santavirta, S",Operative and nonoperative treatments of medial collateral ligament rupture with early anterior cruciate ligament reconstruction - A prospective randomized study,AMERICAN JOURNAL OF SPORTS MEDICINE,2006,10.1177/0363546505284889
17,"Holm, I; Oiestad, BE; Risberg, MA; Aune, AK",No Difference in Knee Function or Prevalence of Osteoarthritis After Reconstruction of the Anterior Cruciate Ligament With 4-Strand Hamstring Autograft Versus Patellar Tendon-Bone Autograft A Randomized Study With 10-Year Follow-up,AMERICAN JOURNAL OF SPORTS MEDICINE,2010,10.1177/0363546509350301
18,"Gohil, S; Annear, PO; Breidahl, W",Anterior cruciate ligament reconstruction using autologous double hamstrings:: a comparison of standard versus minimal debridement techniques using MRI to assess revascularisation -: A randomised prospective study with a one-year follow-up,JOURNAL OF BONE AND JOINT SURGERY-BRITISH VOLUME,2007,10.1302/0301-620X.89B9.19339
19,"Fauno, P; Kaalund, S",Tunnel widening after hamstring anterior cruciate ligament reconstruction is influenced by the type of graft fixation used: A prospective randomized study,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2005,10.1016/j.arthro.2005.08.023
20,"LidÈn, M; Ejerhed, L; Sernert, N; Laxdal, G; Kartus, J","Patellar tendon or semitendinosus tendon autografts for anterior cruciate ligament reconstruction -: A prospective, randomized study with a 7-year follow-up",AMERICAN JOURNAL OF SPORTS MEDICINE,2007,10.1177/0363546506298275
21,"Zhao, JH; He, YH; Wang, JH",Double-bundle anterior cruciate ligament reconstruction: Four versus eight strands of hamstring tendon graft,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2007,10.1016/j.arthro.2007.01.022
22,"Lui, PPY; Cheng, YY; Yung, SH; Hung, ASL; Chan, KM",A randomized controlled trial comparing bone mineral density changes of three different ACL reconstruction techniques,KNEE,2012,10.1016/j.knee.2012.02.005
23,"Konrads, C; Reppenhagen, S; Plumhoff, P; Hoberg, M; Rudert, M; Barthel, T",No significant difference in clinical outcome and knee stability between patellar tendon and semitendinosus tendon in anterior cruciate ligament reconstruction,ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,2016,10.1007/s00402-015-2386-4
24,"Laxdal, G; Kartus, J; Eriksson, BI; FaxÈn, E; Sernert, N; Karlsson, J",Biodegradable and metallic interference screws in anterior cruciate ligament reconstruction surgery using hamstring tendon grafts -: Prospective randomized study of radiographic results and clinical outcome,AMERICAN JOURNAL OF SPORTS MEDICINE,2006,10.1177/0363546506288014
25,"Sajovic, M; Vengust, V; Komadina, R; Tavcar, R; Skaza, K","A prospective, randomized comparison of semitendinosus and gracilis tendon versus patellar tendon autografts for anterior cruciate ligament reconstruction - Five-year follow-up",AMERICAN JOURNAL OF SPORTS MEDICINE,2006,10.1177/0363546506290726
26,"Thompson, SM; Salmon, LJ; Waller, A; Linklater, J; Roe, JP; Pinczewski, LA",Twenty-Year Outcome of a Longitudinal Prospective Evaluation of Isolated Endoscopic Anterior Cruciate Ligament Reconstruction With Patellar Tendon or Hamstring Autograft,AMERICAN JOURNAL OF SPORTS MEDICINE,2016,10.1177/0363546516658041
27,"Hwang, DH; Shetty, GM; Kim, JI; Kwon, JH; Song, JK; MuÒoz, M; Lee, JS; Nha, KW",Does Press-Fit Technique Reduce Tunnel Volume Enlargement After Anterior Cruciate Ligament Reconstruction With Autologous Hamstring Tendons? A Prospective Randomized Computed Tomography Study,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2013,10.1016/j.arthro.2012.07.007
28,"Oliveira, M; Lobo, P Jr; Imoto, AM; Santos, T; Borges, JHS; Nunes, P; Barin, FR; Damando, M; Peccin, MS",Unilateral Versus Bilateral Resistance Exercise in Postoperative Rehabilitation After ACL Reconstruction With Bone-Patellar Tendon-Bone Graft: A Randomized Controlled Trial,ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,2022,10.1177/23259671221088830
29,"Liu, SH; Li, H; Tao, HY; Sun, YY; Chen, SY; Chen, JW",A Randomized Clinical Trial to Evaluate Attached Hamstring Anterior Cruciate Ligament Graft Maturity With Magnetic Resonance Imaging,AMERICAN JOURNAL OF SPORTS MEDICINE,2018,10.1177/0363546517752918
30,"Stener, S; Ejerhed, L; Sernert, N; Laxdal, G; RostgÂrd-Christensen, L; Kartus, J","A Long-Term, Prospective, Randomized Study Comparing Biodegradable and Metal Interference Screws in Anterior Cruciate Ligament Reconstruction Surgery Radiographic Results and Clinical Outcome",AMERICAN JOURNAL OF SPORTS MEDICINE,2010,10.1177/0363546510361952
31,"Zhang, YH; Liu, SH; Chen, QY; Hu, YW; Sun, YY; Chen, JW",Maturity Progression of the Entire Anterior Cruciate Ligament Graft of Insertion-Preserved Hamstring Tendons by 5 Years: A Prospective Randomized Controlled Study Based on Magnetic Resonance Imaging Evaluation,AMERICAN JOURNAL OF SPORTS MEDICINE,2020,10.1177/0363546520951507
32,"Chen, TW; Zhang, P; Chen, JW; Hua, YH; Chen, SY",Long-Term Outcomes of Anterior Cruciate Ligament Reconstruction Using Either Synthetics With Remnant Preservation or Hamstring Autografts A 10-Year Longitudinal Study,AMERICAN JOURNAL OF SPORTS MEDICINE,2017,10.1177/0363546517721692
33,"Akelman, MR; Fadale, PD; Hulstyn, MJ; Shalvoy, RM; Garcia, A; Chin, KE; Duryea, J; Badger, GJ; Tung, GA; Fleming, BC",Effect of Matching or Overconstraining Knee Laxity During Anterior Cruciate Ligament Reconstruction on Knee Osteoarthritis and Clinical Outcomes: A Randomized Controlled Trial With 84-Month Follow-up,AMERICAN JOURNAL OF SPORTS MEDICINE,2016,10.1177/0363546516638387
34,"Martin-Alguacil, JL; Arroyo-Morales, M; Martin-Gomez, JL; Monje-Cabrera, IM; Abellan-Guillen, JF; Esparza-Ros, F; Lozano, ML; Cantarero-Villanueva, I",Strength recovery after anterior cruciate ligament reconstruction with quadriceps tendon versus hamstring tendon autografts in soccer players: A randomized controlled trial,KNEE,2018,10.1016/j.knee.2018.03.011
35,"Shelbourne, KD; Benner, R; Gray, T; Bauman, S","Range of Motion, Strength, and Function After ACL Reconstruction Using a Contralateral Patellar Tendon Graft",ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,2022,10.1177/23259671221138103
36,"Mohtadi, NG; Chan, DS","A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions",JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,2019,10.2106/JBJS.18.01322
37,"Lu, C; Huang, X","The comparison of clinical efficacy of arthroscopic anterior cruciate ligament reconstruction via autologous bone-patellar tendon-bone, autologous hamstring tendon and allogeneic bone-patellar tendon-bone",INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL MEDICINE,2017,
38,"Boutsiadis, A; Panisset, JC; Devitt, BM; Mauris, F; Barthelemy, R; Barth, J",Anterior Laxity at 2 Years After Anterior Cruciate Ligament Reconstruction Is Comparable When Using Adjustable-Loop Suspensory Fixation and Interference Screw Fixation,AMERICAN JOURNAL OF SPORTS MEDICINE,2018,10.1177/0363546518784005
39,"Porter, M; Shadbolt, B",Modified Iliotibial Band Tenodesis Is Indicated to Correct Intraoperative Residual Pivot Shift After Anterior Cruciate Ligament Reconstruction Using an Autologous Hamstring Tendon Graft: A Prospective Randomized Controlled Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2020,10.1177/0363546520910148
40,"Dejour, D; Vanconcelos, W; Bonin, N; Saggin, PRF","Comparative study between mono-bundle bone-patellar tendon-bone, double-bundle hamstring and mono-bundle bone-patellar tendon-bone combined with a modified Lemaire extra-articular procedure in anterior cruciate ligament reconstruction",INTERNATIONAL ORTHOPAEDICS,2013,10.1007/s00264-012-1718-z
41,"Sacramento, SN; Magalhaes, E; Christel, P; Ingham, S; Fukuda, TY",A new technique in double-bundle anterior cruciate ligament reconstruction with implant-free tibial fixation,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,2016,10.1007/s00167-014-3430-6
42,"Elveos, MM; Drogset, JO; Engebretsen, L; Bronn, R; Lundemo, TO; Gifstad, T",Anterior Cruciate Ligament Reconstruction Using a Bone-Patellar Tendon-Bone Graft With and Without a Ligament Augmentation Device: A 25-Year Follow-up of a Prospective Randomized Controlled Trial,ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,2018,10.1177/2325967118808778
43,"Taylor, DC; DeBerardino, TM; Nelson, BJ; Duffey, M; Tenuta, J; Stoneman, PD; Sturdivant, RX; Mountcastle, S",Patellar Tendon Versus Hamstring Tendon Autografts for Anterior Cruciate Ligament Reconstruction A Randomized Controlled Trial Using Similar Femoral and Tibial Fixation Methods,AMERICAN JOURNAL OF SPORTS MEDICINE,2009,10.1177/0363546509339577
44,"Jansson, KA; Linko, E; Sandelin, J; Harilainen, A",A prospective randomized study of patellar versus hamstring tendon autografts for anterior cruciate ligament reconstruction,AMERICAN JOURNAL OF SPORTS MEDICINE,2003,10.1177/03635465030310010501
45,"Beynnon, BD; Uh, BS; Johnson, RJ; Abate, JA; Nichols, CE; Fleming, BC; Poole, AR; Roos, H","Rehabilitation after anterior cruciate ligament reconstruction - A prospective, randomized, double-blind comparison of programs administered over 2 different time intervals",AMERICAN JOURNAL OF SPORTS MEDICINE,2005,10.1177/0363546504268406
46,"Zhang, HZ; Chen, X; Ong, MTY; Lei, L; Zheng, LZ; Dai, BY; Tong, WX; Fu, BSC; Xu, JK; Yung, PSH; Qin, L",Current Advances of Artificial Ligaments for Anterior Cruciate Ligament Reconstruction: From Biocompatibility to Bioactivity,ENGINEERING,2025,10.1016/j.eng.2024.10.018
47,"Pinczewski, LA; Deehan, DJ; Salmon, LJ; Russell, VJ; Clingeleffer, A",A five-year comparison of patellar tendon versus four-strand hamstring tendon autograft for Arthroscopic reconstruction of the anterior cruciate ligament,AMERICAN JOURNAL OF SPORTS MEDICINE,2002,10.1177/03635465020300041201
48,"Barenius, B; Nordlander, M; Ponzer, S; Tidermark, J; Eriksson, K",Quality of Life and Clinical Outcome After Anterior Cruciate Ligament Reconstruction Using Patellar Tendon Graft or Quadrupled Semitendinosus Graft An 8-Year Follow-up of a Randomized Controlled Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2010,10.1177/0363546510369549
49,"Sekir, U; Gur, H; Akova, B",Early Versus Late Start of Isokinetic Hamstring-Strengthening Exercise After Anterior Cruciate Ligament Reconstruction With Patellar Tendon Graft,AMERICAN JOURNAL OF SPORTS MEDICINE,2010,10.1177/0363546509349490
50,"Endele, D; Jung, C; Becker, U; Bauer, G; Mauch, F",Anterior Cruciate Ligament Reconstruction With and Without Computer Navigation: A Clinical and Magnetic Resonance Imaging Evaluation 2 Years After Surgery,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2009,10.1016/j.arthro.2009.05.016
51,"Huang, MH; Yang, RC; Chou, PH",Preliminary effects of hyaluronic acid on early rehabilitation of patients with isolated anterior cruciate ligament reconstruction,CLINICAL JOURNAL OF SPORT MEDICINE,2007,10.1097/JSM.0b013e31812570fa
52,"Harris, K; Driban, JB; Sitler, MR; Cattano, NM; Hootman, JM",Five-Year Clinical Outcomes of a Randomized Trial of Anterior Cruciate Ligament Treatment Strategies: An Evidence-Based Practice Paper,JOURNAL OF ATHLETIC TRAINING,2015,10.4085/1062-6050-49.3.53
53,"Runer, A; Keeling, L; Wagala, N; Nugraha, H; ÷zbek, EA; Hughes, JD; Musahl, V","Current trends in graft choice for primary anterior cruciate ligament reconstruction - part II: In-vivo kinematics, patient reported outcomes, re-rupture rates, strength recovery, return to sports and complications",JOURNAL OF EXPERIMENTAL ORTHOPAEDICS,2023,10.1186/s40634-023-00601-3
54,"Borges, JHD; Oliveira, M; Lobo, P; Machado, RD; Lima, R; Ramos, LA; Cohen, M",Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial,KNEE,2022,10.1016/j.knee.2022.03.015
55,"Barenius, B; Ponzer, S; Shalabi, A; Bujak, R; NorlÈn, L; Eriksson, K",Increased Risk of Osteoarthritis After Anterior Cruciate Ligament Reconstruction A 14-Year Follow-up Study of a Randomized Controlled Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2014,10.1177/0363546514526139
56,"McRae, S; Leiter, J; McCormack, R; Old, J; MacDonald, P",Ipsilateral Versus Contralateral Hamstring Grafts in Anterior Cruciate Ligament Reconstruction A Prospective Randomized Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2013,10.1177/0363546513499140
57,"Cantin, O; Lustig, S; Rongieras, F; Saragaglia, D; LefËvre, N; Graveleau, N; Hulet, C",Outcome of cartilage at 12 years of follow-up after anterior cruciate ligament reconstruction,ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH,2016,10.1016/j.otsr.2016.06.011
58,"Lecoq, FA; Parienti, JJ; Murison, J; Ruiz, N; Bouacida, K; Besse, J; Morin, V; Padiolleau, G; Cucurulo, T; Graveleau, N; Hulet, C",Graft Choice and the Incidence of Osteoarthritis After Anterior Cruciate Ligament Reconstruction A Causal Analysis From a Cohort of 541 Patients,AMERICAN JOURNAL OF SPORTS MEDICINE,2018,10.1177/0363546518795137
59,"Sasaki, S; Tsuda, E; Hiraga, Y; Yamamoto, Y; Maeda, S; Sasaki, E; Ishibashi, Y",Prospective Randomized Study of Objective and Subjective Clinical Results Between Double-Bundle and Single-Bundle Anterior Cruciate Ligament Reconstruction,AMERICAN JOURNAL OF SPORTS MEDICINE,2016,10.1177/0363546515624471
60,"Sonnery-Cottet, B; Pioger, C; Vieira, TD; Franck, F; Kajetanek, C; Fayard, JM; Thaunat, M; Saithna, A",Combined ACL and Anterolateral Reconstruction Is Not Associated With a Higher Risk of Adverse Outcomes: Preliminary Results From the SANTI Randomized Controlled Trial,ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,2020,10.1177/2325967120918490
61,"Mayr, HO; St¸eken, P; M¸nch, EO; Wolter, M; Bernstein, A; Suedkamp, NP; Stoehr, A",Brace or no-brace after ACL graft? Four-year results of a prospective clinical trial,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,2014,10.1007/s00167-013-2564-2
62,"Walters, BL; Porter, DA; Hobart, SJ; Bedford, BB; Hogan, DE; McHugh, MM; Klein, DA; Harousseau, K; Nicholas, SJ",Effect of Intraoperative Platelet-Rich Plasma Treatment on Postoperative Donor Site Knee Pain in Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction A Double-Blind Randomized Controlled Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2018,10.1177/0363546518769295
63,"Anz, AW; Jordan, SE; Ostrander, RV III; Branch, EA; Denney, TS; Cohen, A; Andrews, JR",Augmentation of ACL Autograft Reconstruction With an Amnion Collagen Matrix Wrap and Bone Marrow Aspirate Concentrate: A Pilot Randomized Controlled Trial With 2-Year Follow-up,ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,2023,10.1177/23259671231210035
64,"Fithian, DC; Paxton, EW; Stone, ML; Luetzow, WF; Csintalan, RP; Phelan, D; Daniel, DM",Prospective trial of a treatment algorithm for the management of the anterior cruciate ligament-injured knee,AMERICAN JOURNAL OF SPORTS MEDICINE,2005,10.1177/0363546504269590
65,"Feil, S; Newell, J; Minogue, C; Paessler, HH","The Effectiveness of Supplementing a Standard Rehabilitation Program With Superimposed Neuromuscular Electrical Stimulation After Anterior Cruciate Ligament Reconstruction A Prospective, Randomized, Single-Blind Study",AMERICAN JOURNAL OF SPORTS MEDICINE,2011,10.1177/0363546510396180
66,"Fleming, BC; Fadale, PD; Hulstyn, MJ; Shalvoy, RM; Oksendahl, HL; Badger, GJ; Tung, GA",The Effect of Initial Graft Tension After Anterior Cruciate Ligament Reconstruction A Randomized Clinical Trial With 36-Month Follow-up,AMERICAN JOURNAL OF SPORTS MEDICINE,2013,10.1177/0363546512464200
67,"Costa, MQ; Badger, GJ; Chrostek, CA; Carvalho, OD; Faiola, SL; Fadale, PD; Hulstyn, MJ; Gil, HC; Shalvoy, RM; Fleming, BC",Effects of Initial Graft Tension and Patient Sex on Knee Osteoarthritis Outcomes After ACL Reconstruction: A Randomized Controlled Clinical Trial With 10-to 12-Year Follow-up,AMERICAN JOURNAL OF SPORTS MEDICINE,2022,10.1177/03635465221124917
68,"Chen, TW; Zhang, P; Li, YX; Webster, K; Zhang, J; Yao, W; Yin, Y; Ai, CC; Chen, SY","Translation, cultural adaptation and validation of simplified Chinese version of the anterior cruciate ligament return to sport after injury (ACL-RSI) scale",PLOS ONE,2017,10.1371/journal.pone.0183095
69,"Mayr, HO; Hochrein, A; Hein, W; Hube, R; Bernstein, A",Rehabilitation results following anterior cruciate ligament reconstruction using a hard brace compared to a fluid-filled soft brace,KNEE,2010,10.1016/j.knee.2009.07.002
70,"Frobell, RB; Roos, EM; Roos, HP; Ranstam, J; Lohmander, LS",A Randomized Trial of Treatment for Acute Anterior Cruciate Ligament Tears,NEW ENGLAND JOURNAL OF MEDICINE,2010,10.1056/NEJMoa0907797
71,"Jagodzinski, M; Geiges, B; von Falck, C; Knobloch, K; Haasper, C; Brand, J; Hankemeier, S; Krettek, C; Meller, R",Biodegradable Screw Versus a Press-Fit Bone Plug Fixation for Hamstring Anterior Cruciate Ligament Reconstruction A Prospective Randomized Study,AMERICAN JOURNAL OF SPORTS MEDICINE,2010,10.1177/0363546509350325
72,"Kostogiannis, L; Ageberg, E; Neuman, P; Dahlberg, L; FridÈn, T; Roos, H","Activity level and subjective knee function 15 years after anterior Cruciate ligament injury -: A prospective, longitudinal study of non reconstructed patients",AMERICAN JOURNAL OF SPORTS MEDICINE,2007,10.1177/0363546507299238
73,"Darabos, N; Haspl, M; Moser, C; Darabos, A; Bartolek, D; Groenemeyer, D",Intraarticular application of autologous conditioned serum (ACS) reduces bone tunnel widening after ACL reconstructive surgery in a randomized controlled trial,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,2011,10.1007/s00167-011-1458-4
74,"Fukuda, TY; Fingerhut, D; Moreira, VC; Camarini, PMF; Scodeller, NF; Duarte, A; Martinelli, M; Bryk, FF",Open Kinetic Chain Exercises in a Restricted Range of Motion After Anterior Cruciate Ligament Reconstruction A Randomized Controlled Clinical Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2013,10.1177/0363546513476482
75,"Porter, M; Shadbolt, B; Ye, X; Stuart, R",Ankle Lateral Ligament Augmentation Versus the Modified Brostrom-Gould Procedure: A 5-Year Randomized Controlled Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2019,10.1177/0363546518820529
