,Authors,Article Title,Source Title,Publication Year,DOI
76,"Beaudoin, A; Ogborn, D; McRae, S; Larose, G; Brown, H; McCormack, R; MacDonald, P",No differences found in long-term outcomes of a randomized controlled trial comparing ipsilateral versus contralateral hamstring graft in ACL reconstruction,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,2022,10.1007/s00167-022-06980-x
0,"Arneja, S; Froese, W; MacDonald, P",Augmentation of femoral fixation in hamstring anterior cruciate ligament reconstruction with a bioabsorbable bead - A prospective single-blind randomized clinical trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2004,10.1177/0095399703258675
1,"Matsumoto, T; Kuroda, R; Matsushita, T; Araki, D; Hoshino, Y; Nagamune, K; Kurosaka, M",Reduction of Tunnel Enlargement With Use of Autologous Ruptured Tissue in Anterior Cruciate Ligament Reconstruction: A Pilot Clinical Trial,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2014,10.1016/j.arthro.2013.12.014
2,"Koga, H; Muneta, T; Yagishita, K; Watanabe, T; Mochizuki, T; Horie, M; Nakamura, T; Otabe, K; Sekiya, I",Effect of Posterolateral Bundle Graft Fixation Angles on Clinical Outcomes in Double-Bundle Anterior Cruciate Ligament Reconstruction A Randomized Controlled Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2015,10.1177/0363546514567069
3,"Birmingham, TB; Bryant, DM; Giffin, JR; Litchfield, RB; Kramer, JF; Donner, A; Fowler, PJ",A randomized controlled trial comparing the effectiveness of functional knee brace and neoprene sleeve use after anterior cruciate ligament reconstruction,AMERICAN JOURNAL OF SPORTS MEDICINE,2008,10.1177/0363546507311601
4,"Kulinski, K; Wasko, MK; Trams, E; Malesa, K; Pomianowski, S; Kaminski, R","Anterior Cruciate Ligament Reconstruction Using a 4-Strand Semitendinosus Tendon Graft or a Doubled Semitendinosus and Gracilis Tendon Graft: A 4.5-Year Prospective, Randomized, Double-Blind, Parallel-Group Study",AMERICAN JOURNAL OF SPORTS MEDICINE,2023,10.1177/03635465221149738
5,"Zhang, Q; Zhang, S; Cao, XC; Liu, LF; Liu, Y; Li, R",The effect of remnant preservation on tibial tunnel enlargement in ACL reconstruction with hamstring autograft: a prospective randomized controlled trial,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,2014,10.1007/s00167-012-2341-7
6,"Smith, PA; Cook, CS; Bley, JA",All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2020,10.1016/j.arthro.2020.01.048
7,"Bottoni, CR; Liddell, TR; Trainor, TJ; Freccero, DM; Lindell, KK","Postoperative range of motion following anterior cruciate ligament reconstruction using autograft hamstrings - A prospective, randomized clinical trial of early versus delayed reconstructions",AMERICAN JOURNAL OF SPORTS MEDICINE,2008,10.1177/0363546507312164
8,"Mohtadi, N; Chan, D; Barber, R; Paolucci, EO","A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at a Minimal 2-Year Follow-up",CLINICAL JOURNAL OF SPORT MEDICINE,2015,10.1097/JSM.0000000000000165
9,"Balasingam, S; Karikis, I; Rostg√•rd-Christensen, L; Desai, N; Ahld√©n, M; Sernert, N; Kartus, J",Anatomic Double-Bundle Anterior Cruciate Ligament Reconstruction Is Not Superior to Anatomic Single-Bundle Reconstruction at 10-Year Follow-up: A Randomized Clinical Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2022,10.1177/03635465221128566
10,"J√§rvel√§, T; Moisala, AS; Sihvonen, R; J√§rvel√§, S; Kannus, P; J√§rvinen, M",Double-bundle anterior cruciate ligament reconstruction using hamstring autografts and bioabsorbable interference screw fixation,AMERICAN JOURNAL OF SPORTS MEDICINE,2008,10.1177/0363546507308360
11,"MacDonald, P; Kim, C; McRae, S; Leiter, J; Khan, R; Whelan, D","No clinical differences between anteromedial portal and transtibial technique for femoral tunnel positioning in anterior cruciate ligament reconstruction: a prospective randomized, controlled trial",KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,2018,10.1007/s00167-017-4664-x
12,"Ejerhed, L; Kartus, J; Sernert, N; K√∂hler, K; Karlsson, J",Patellar tendon or semitendinosus tendon autografts for anterior cruciate ligament reconstruction?: A prospective randomized study with a two-year follow-up,AMERICAN JOURNAL OF SPORTS MEDICINE,2003,10.1177/03635465030310011401
13,"Koga, H; Muneta, T; Yagishita, K; Watanabe, T; Mochizuki, T; Horie, M; Nakamura, T; Otabe, K; Sekiya, I",Mid- to Long-term Results of Single-Bundle Versus Double-Bundle Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2015,10.1016/j.arthro.2014.07.020
14,"Mutsuzaki, H; Kanamori, A; Ikeda, K; Hioki, S; Kinugasa, T; Sakane, M",Effect of Calcium Phosphate-Hybridized Tendon Graft in Anterior Cruciate Ligament Reconstruction A Randomized Controlled Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2012,10.1177/0363546512449618
15,"Sajovic, M; Strahovnik, A; Dernovsek, MZ; Skaza, K",Quality of Life and Clinical Outcome Comparison of Semitendinosus and Gracilis Tendon Versus Patellar Tendon Autografts for Anterior Cruciate Ligament Reconstruction An 11-Year Follow-up of a Randomized Controlled Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2011,10.1177/0363546511411702
16,"Karikis, I; Desai, N; Sernert, N; Rostgard-Christensen, L; Kartus, J",Comparison of Anatomic Double- and Single-Bundle Techniques for Anterior Cruciate Ligament Reconstruction Using Hamstring Tendon Autografts A Prospective Randomized Study With 5-Year Clinical and Radiographic Follow-up,AMERICAN JOURNAL OF SPORTS MEDICINE,2016,10.1177/0363546515626543
17,"Bohn, MB; Sorensen, H; Petersen, MK; Soballe, K; Lind, M",Rotational laxity after anatomical ACL reconstruction measured by 3-D motion analysis: a prospective randomized clinical trial comparing anatomic and nonanatomic ACL reconstruction techniques,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,2015,10.1007/s00167-014-3156-5
18,"Hill, PF; Russell, VJ; Salmon, LJ; Pinczewski, LA",The influence of supplementary tibial fixation on laxity measurements after anterior cruciate ligament reconstruction with hamstring tendons in female patients,AMERICAN JOURNAL OF SPORTS MEDICINE,2005,10.1177/0363546504268036
19,"Muneta, T; Koga, H; Mochizuki, T; Ju, YJ; Hara, K; Nimura, A; Yagishita, K; Sekiya, I",A prospective randomized study of 4-strand semitendinosus tendon anterior cruciate ligament reconstruction comparing single-bundle and double-bundle techniques,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2007,10.1016/j.arthro.2007.04.010
20,"Drocco, L; Camazzola, D; Ferracini, R; Lustig, S; Ravera, L; Graziano, E; Mass√®, A; Bistolfi, A",Tripled semitendinosus with single harvesting is as effective but less invasive compared to standard gracilis-semitendinosus harvesting,MLTJ-MUSCLES LIGAMENTS AND TENDONS JOURNAL,2017,10.11138/mltj/2017.7.4.564
21,"Matsumoto, A; Yoshiya, S; Muratsu, H; Yagi, M; Iwasaki, Y; Kurosaka, M; Kuroda, R",A comparison of bone-patellar tendon-bone and bone-hamstring tendon-bone autografts for anterior cruciate ligament reconstruction,AMERICAN JOURNAL OF SPORTS MEDICINE,2006,10.1177/0363546505279919
22,"Holm, I; Oiestad, BE; Risberg, MA; Aune, AK",No Difference in Knee Function or Prevalence of Osteoarthritis After Reconstruction of the Anterior Cruciate Ligament With 4-Strand Hamstring Autograft Versus Patellar Tendon-Bone Autograft A Randomized Study With 10-Year Follow-up,AMERICAN JOURNAL OF SPORTS MEDICINE,2010,10.1177/0363546509350301
23,"Gohil, S; Annear, PO; Breidahl, W",Anterior cruciate ligament reconstruction using autologous double hamstrings:: a comparison of standard versus minimal debridement techniques using MRI to assess revascularisation -: A randomised prospective study with a one-year follow-up,JOURNAL OF BONE AND JOINT SURGERY-BRITISH VOLUME,2007,10.1302/0301-620X.89B9.19339
24,"Liu, YL; Cui, GQ; Yan, H; Yang, YP; Ao, YF","Comparison Between Single- and Double-Bundle Anterior Cruciate Ligament Reconstruction With 6-to 8-Stranded Hamstring Autograft: A Prospective, Randomized Clinical Trial",AMERICAN JOURNAL OF SPORTS MEDICINE,2016,10.1177/0363546516650876
25,"Kim, JG; Kang, SH; Kim, JH; Lim, CO; Wang, JH","Comparison of Clinical Results, Second-Look Arthroscopic Findings, and MRI Findings Between the Transportal and Outside-In Techniques for Double-Bundle Anatomic Anterior Cruciate Ligament Reconstruction A Prospective, Randomized Controlled Trial With a Minimum 2-Year Follow-up",AMERICAN JOURNAL OF SPORTS MEDICINE,2018,10.1177/0363546517744535
26,"Fauno, P; Kaalund, S",Tunnel widening after hamstring anterior cruciate ligament reconstruction is influenced by the type of graft fixation used: A prospective randomized study,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2005,10.1016/j.arthro.2005.08.023
27,"Zhao, JH; He, YH; Wang, JH",Double-bundle anterior cruciate ligament reconstruction: Four versus eight strands of hamstring tendon graft,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2007,10.1016/j.arthro.2007.01.022
28,"Sundaraj, K; Salmon, LJ; Heath, EL; Winalski, CS; Colak, C; Vasanji, A; Roe, JP; Pinczewski, LA","Bioabsorbable Versus Titanium Screws in Anterior Cruciate Ligament Reconstruction Using Hamstring Autograft: A Prospective, Randomized Controlled Trial With 13-Year Follow-up",AMERICAN JOURNAL OF SPORTS MEDICINE,2020,10.1177/0363546520911024
29,"Lid√©n, M; Ejerhed, L; Sernert, N; Laxdal, G; Kartus, J","Patellar tendon or semitendinosus tendon autografts for anterior cruciate ligament reconstruction -: A prospective, randomized study with a 7-year follow-up",AMERICAN JOURNAL OF SPORTS MEDICINE,2007,10.1177/0363546506298275
30,"Laxdal, G; Kartus, J; Eriksson, BI; Fax√©n, E; Sernert, N; Karlsson, J",Biodegradable and metallic interference screws in anterior cruciate ligament reconstruction surgery using hamstring tendon grafts -: Prospective randomized study of radiographic results and clinical outcome,AMERICAN JOURNAL OF SPORTS MEDICINE,2006,10.1177/0363546506288014
31,"Lui, PPY; Cheng, YY; Yung, SH; Hung, ASL; Chan, KM",A randomized controlled trial comparing bone mineral density changes of three different ACL reconstruction techniques,KNEE,2012,10.1016/j.knee.2012.02.005
32,"Fu, CLA; Yung, SHP; Law, KYB; Leung, KHH; Lui, PYP; Siu, HK; Chan, KM",The Effect of Early Whole-Body Vibration Therapy on Neuromuscular Control After Anterior Cruciate Ligament Reconstruction A Randomized Controlled Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2013,10.1177/0363546513476473
33,"Krishna, L; Chan, CX; Lokaiah, L; Chinnasamy, D; Goyal, S; Wang, MC; Singh, A",Five-Strand Versus Four-Strand Hamstring Autografts in Anterior Cruciate Ligament Reconstruction-A Prospective Randomized Controlled Study,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2021,10.1016/j.arthro.2020.08.012
34,"Konrads, C; Reppenhagen, S; Plumhoff, P; Hoberg, M; Rudert, M; Barthel, T",No significant difference in clinical outcome and knee stability between patellar tendon and semitendinosus tendon in anterior cruciate ligament reconstruction,ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,2016,10.1007/s00402-015-2386-4
35,"Grunau, PD; Arneja, S; Leith, JM",A Randomized Clinical Trial to Assess the Clinical Effectiveness of a Measured Objective Tensioning Device in Hamstring Anterior Cruciate Ligament Reconstruction,AMERICAN JOURNAL OF SPORTS MEDICINE,2016,10.1177/0363546516634021
36,"Stener, S; Ejerhed, L; Sernert, N; Laxdal, G; Rostg√•rd-Christensen, L; Kartus, J","A Long-Term, Prospective, Randomized Study Comparing Biodegradable and Metal Interference Screws in Anterior Cruciate Ligament Reconstruction Surgery Radiographic Results and Clinical Outcome",AMERICAN JOURNAL OF SPORTS MEDICINE,2010,10.1177/0363546510361952
37,"Thompson, SM; Salmon, LJ; Waller, A; Linklater, J; Roe, JP; Pinczewski, LA",Twenty-Year Outcome of a Longitudinal Prospective Evaluation of Isolated Endoscopic Anterior Cruciate Ligament Reconstruction With Patellar Tendon or Hamstring Autograft,AMERICAN JOURNAL OF SPORTS MEDICINE,2016,10.1177/0363546516658041
38,"Liu, SH; Li, H; Tao, HY; Sun, YY; Chen, SY; Chen, JW",A Randomized Clinical Trial to Evaluate Attached Hamstring Anterior Cruciate Ligament Graft Maturity With Magnetic Resonance Imaging,AMERICAN JOURNAL OF SPORTS MEDICINE,2018,10.1177/0363546517752918
39,"Hwang, DH; Shetty, GM; Kim, JI; Kwon, JH; Song, JK; Mu√±oz, M; Lee, JS; Nha, KW",Does Press-Fit Technique Reduce Tunnel Volume Enlargement After Anterior Cruciate Ligament Reconstruction With Autologous Hamstring Tendons? A Prospective Randomized Computed Tomography Study,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2013,10.1016/j.arthro.2012.07.007
40,"Sajovic, M; Vengust, V; Komadina, R; Tavcar, R; Skaza, K","A prospective, randomized comparison of semitendinosus and gracilis tendon versus patellar tendon autografts for anterior cruciate ligament reconstruction - Five-year follow-up",AMERICAN JOURNAL OF SPORTS MEDICINE,2006,10.1177/0363546506290726
41,"Arama, Y; Salmon, LJ; Sri-Ram, K; Linklater, J; Roe, JP; Pinczewski, LA","Bioabsorbable Versus Titanium Screws in Anterior Cruciate Ligament Reconstruction Using Hamstring Autograft: A Prospective, Blinded, Randomized Controlled Trial With 5-Year Follow-up",AMERICAN JOURNAL OF SPORTS MEDICINE,2015,10.1177/0363546515588926
42,"Zhang, SR; Wen, AZ; Li, SK; Yao, W; Liu, C; Lin, ZF; Jin, ZB; Chen, JW; Hua, YH; Chen, SY; Li, YX",Radial Extracorporeal Shock Wave Therapy Enhances Graft Maturation at 2-Year Follow-up After ACL Reconstruction: A Randomized Controlled Trial,ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,2022,10.1177/23259671221116340
43,"Oliveira, M; Lobo, P Jr; Imoto, AM; Santos, T; Borges, JHS; Nunes, P; Barin, FR; Damando, M; Peccin, MS",Unilateral Versus Bilateral Resistance Exercise in Postoperative Rehabilitation After ACL Reconstruction With Bone-Patellar Tendon-Bone Graft: A Randomized Controlled Trial,ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,2022,10.1177/23259671221088830
44,"Zhang, YH; Liu, SH; Chen, QY; Hu, YW; Sun, YY; Chen, JW",Maturity Progression of the Entire Anterior Cruciate Ligament Graft of Insertion-Preserved Hamstring Tendons by 5 Years: A Prospective Randomized Controlled Study Based on Magnetic Resonance Imaging Evaluation,AMERICAN JOURNAL OF SPORTS MEDICINE,2020,10.1177/0363546520951507
45,"Chen, TW; Zhang, P; Chen, JW; Hua, YH; Chen, SY",Long-Term Outcomes of Anterior Cruciate Ligament Reconstruction Using Either Synthetics With Remnant Preservation or Hamstring Autografts A 10-Year Longitudinal Study,AMERICAN JOURNAL OF SPORTS MEDICINE,2017,10.1177/0363546517721692
46,"Karimi-Mobarakeh, M; Mardani-Kivi, M; Mortazavi, A; Saheb-Ekhtiari, K; Hashemi-Motlagh, K",Role of gracilis harvesting in four-strand hamstring tendon anterior cruciate ligament reconstruction: a double-blinded prospective randomized clinical trial,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,2015,10.1007/s00167-014-2890-z
47,"Akelman, MR; Fadale, PD; Hulstyn, MJ; Shalvoy, RM; Garcia, A; Chin, KE; Duryea, J; Badger, GJ; Tung, GA; Fleming, BC",Effect of Matching or Overconstraining Knee Laxity During Anterior Cruciate Ligament Reconstruction on Knee Osteoarthritis and Clinical Outcomes: A Randomized Controlled Trial With 84-Month Follow-up,AMERICAN JOURNAL OF SPORTS MEDICINE,2016,10.1177/0363546516638387
48,"Buda, R; Verni, E; Ferruzzi, A; Di Caprio, F; Giannini, S",Anterior cruciate ligament replacement with distally inserted doubled hamstring graft: prospective clinical and instrumental evaluation,MEDICINA DELLO SPORT,2005,
49,"Martin-Alguacil, JL; Arroyo-Morales, M; Martin-Gomez, JL; Monje-Cabrera, IM; Abellan-Guillen, JF; Esparza-Ros, F; Lozano, ML; Cantarero-Villanueva, I",Strength recovery after anterior cruciate ligament reconstruction with quadriceps tendon versus hamstring tendon autografts in soccer players: A randomized controlled trial,KNEE,2018,10.1016/j.knee.2018.03.011
50,"van der List, JP; Vermeijden, HD; Sierevelt, IN; Rademakers, MV; Falke, MLM; Helmerhorst, GTT; Hoogeslag, RAG; van der Wal, WA; van Noort, A; Kerkhoffs, GMMJ",Repair versus reconstruction for proximal anterior cruciate ligament tears: a study protocol for a prospective multicenter randomized controlled trial,BMC MUSCULOSKELETAL DISORDERS,2021,10.1186/s12891-021-04280-y
51,"Shelbourne, KD; Benner, R; Gray, T; Bauman, S","Range of Motion, Strength, and Function After ACL Reconstruction Using a Contralateral Patellar Tendon Graft",ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,2022,10.1177/23259671221138103
52,"Mohtadi, NG; Chan, DS","A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions",JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,2019,10.2106/JBJS.18.01322
53,"Boutsiadis, A; Panisset, JC; Devitt, BM; Mauris, F; Barthelemy, R; Barth, J",Anterior Laxity at 2 Years After Anterior Cruciate Ligament Reconstruction Is Comparable When Using Adjustable-Loop Suspensory Fixation and Interference Screw Fixation,AMERICAN JOURNAL OF SPORTS MEDICINE,2018,10.1177/0363546518784005
54,"Porter, M; Shadbolt, B",Modified Iliotibial Band Tenodesis Is Indicated to Correct Intraoperative Residual Pivot Shift After Anterior Cruciate Ligament Reconstruction Using an Autologous Hamstring Tendon Graft: A Prospective Randomized Controlled Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2020,10.1177/0363546520910148
55,"Mousavi, SH; Radi, M; Kazemi, D; Izadpanah, F; Shahrouzian, A",Evaluation the results of anterior cruciate ligament reconstruction with or without using antibiotic solution during graft preparation,EUROPEAN JOURNAL OF ORTHOPAEDIC SURGERY AND TRAUMATOLOGY,2023,10.1007/s00590-023-03522-0
56,"Lu, C; Huang, X","The comparison of clinical efficacy of arthroscopic anterior cruciate ligament reconstruction via autologous bone-patellar tendon-bone, autologous hamstring tendon and allogeneic bone-patellar tendon-bone",INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL MEDICINE,2017,
57,"Sacramento, SN; Magalhaes, E; Christel, P; Ingham, S; Fukuda, TY",A new technique in double-bundle anterior cruciate ligament reconstruction with implant-free tibial fixation,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,2016,10.1007/s00167-014-3430-6
58,"Taylor, DC; DeBerardino, TM; Nelson, BJ; Duffey, M; Tenuta, J; Stoneman, PD; Sturdivant, RX; Mountcastle, S",Patellar Tendon Versus Hamstring Tendon Autografts for Anterior Cruciate Ligament Reconstruction A Randomized Controlled Trial Using Similar Femoral and Tibial Fixation Methods,AMERICAN JOURNAL OF SPORTS MEDICINE,2009,10.1177/0363546509339577
59,"Zhang, HZ; Chen, X; Ong, MTY; Lei, L; Zheng, LZ; Dai, BY; Tong, WX; Fu, BSC; Xu, JK; Yung, PSH; Qin, L",Current Advances of Artificial Ligaments for Anterior Cruciate Ligament Reconstruction: From Biocompatibility to Bioactivity,ENGINEERING,2025,10.1016/j.eng.2024.10.018
60,"Dejour, D; Vanconcelos, W; Bonin, N; Saggin, PRF","Comparative study between mono-bundle bone-patellar tendon-bone, double-bundle hamstring and mono-bundle bone-patellar tendon-bone combined with a modified Lemaire extra-articular procedure in anterior cruciate ligament reconstruction",INTERNATIONAL ORTHOPAEDICS,2013,10.1007/s00264-012-1718-z
61,"Ashraf, Y; Senevirathna, SR; Ashraf, T",Conventional versus 'all-inside' anterior cruciate ligament reconstruction: a randomized controlled trial comparing hamstring strength and functional outcome,BONE & JOINT OPEN,2020,10.1302/2633-1462.111.BJO-2020.0012.R1
62,"DE Melo, RFV; Komatsu, WR; DE Freitas, MS; DE Melo, MEV; Cohen, M",COMPARISON OF QUADRICEPS AND HAMSTRING MUSCLE STRENGTH AFTER EXERCISES WITH AND WITHOUT BLOOD FLOW RESTRICTION FOLLOWING ANTERIOR CRUCIATE LIGAMENT SURGERY: A RANDOMIZED CONTROLLED TRIAL,JOURNAL OF REHABILITATION MEDICINE,2022,10.2340/jrm.v54.2550
63,"Zeman, P; Kautzner, J; Havel, O; Matejka, J; Pavelka, T; Havlas, V",Anatomical All-Inside Anterior Cruciate Ligament Reconstruction Using Quadrupled Semitendinosus Tendon Graft with Posteromedial Harvest - Clinical Results of Prospective Study at a Minimum 12-Months Follow-up,ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,2018,
64,"Pinczewski, LA; Deehan, DJ; Salmon, LJ; Russell, VJ; Clingeleffer, A",A five-year comparison of patellar tendon versus four-strand hamstring tendon autograft for Arthroscopic reconstruction of the anterior cruciate ligament,AMERICAN JOURNAL OF SPORTS MEDICINE,2002,10.1177/03635465020300041201
65,"Harris, K; Driban, JB; Sitler, MR; Cattano, NM; Hootman, JM",Five-Year Clinical Outcomes of a Randomized Trial of Anterior Cruciate Ligament Treatment Strategies: An Evidence-Based Practice Paper,JOURNAL OF ATHLETIC TRAINING,2015,10.4085/1062-6050-49.3.53
66,"Jansson, KA; Linko, E; Sandelin, J; Harilainen, A",A prospective randomized study of patellar versus hamstring tendon autografts for anterior cruciate ligament reconstruction,AMERICAN JOURNAL OF SPORTS MEDICINE,2003,10.1177/03635465030310010501
67,"Sekir, U; Gur, H; Akova, B",Early Versus Late Start of Isokinetic Hamstring-Strengthening Exercise After Anterior Cruciate Ligament Reconstruction With Patellar Tendon Graft,AMERICAN JOURNAL OF SPORTS MEDICINE,2010,10.1177/0363546509349490
68,"Barenius, B; Nordlander, M; Ponzer, S; Tidermark, J; Eriksson, K",Quality of Life and Clinical Outcome After Anterior Cruciate Ligament Reconstruction Using Patellar Tendon Graft or Quadrupled Semitendinosus Graft An 8-Year Follow-up of a Randomized Controlled Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2010,10.1177/0363546510369549
69,"Vilchez-Cavazos, F; D√°vila-Mart√≠nez, A; de la Garza-Castro, S; Simental-Mend√≠a, M; Garay-Mendoza, D; Tamez-Mata, Y; Pe√±a-Mart√≠nez, V; Acosta-Olivo, C",Anterior cruciate ligament injuries treated with quadriceps tendon autograft versus hamstring autograft: A randomized controlled trial,CIRUGIA Y CIRUJANOS,2020,10.24875/CIRU.19001001
70,"Cantin, O; Lustig, S; Rongieras, F; Saragaglia, D; Lef√®vre, N; Graveleau, N; Hulet, C",Outcome of cartilage at 12 years of follow-up after anterior cruciate ligament reconstruction,ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH,2016,10.1016/j.otsr.2016.06.011
71,"Cai, ZJ; Yang, YT; Liu, D; Lu, WH; Pan, LY; He, M; Xie, WQ; Yu, DJ; Li, HZ; Jin, HF; Li, YS; Xiao, WF",The effect of hamstring donor-site block for functional outcomes and rehabilitation after anterior cruciate ligament reconstruction,FRONTIERS IN SURGERY,2023,10.3389/fsurg.2023.1003022
72,"Hoogeslag, RAG; In 't Veld, RH; Brouwer, RW; de Graaff, F; Verdonschot, N",Acute Anterior Cruciate Ligament Rupture: Repair or Reconstruction? Five-Year Results of a Randomized Controlled Clinical Trial,AMERICAN JOURNAL OF SPORTS MEDICINE,2022,10.1177/03635465221090527
73,"Song, HY; Dai, XS; Li, JH; Zhu, SN",Hamstring Co-Contraction in the Early Stage of Rehabilitation After Anterior Cruciate Ligament Reconstruction: A Longitudinal Study,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,2018,10.1097/PHM.0000000000000941
